#,Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
542,HOTEL TABARAK,فندق تبارك الفندقية,Makkah,10006964,1-Star,Active,288515
543,TAJ PARK HOTEL,فندق تاج بارك الفندقية,Makkah,10006888,1-Star,Active,223352
544,Elaf Bakkah,فندق إيلاف بكة فرع شركةإيلاف للفنادق المحدودة,Makkah,10006936,3-Star,Active,239199
545,ROWADALHDAYA HOTELS,شركة رواد الهداية الفندقية,Makkah,10007565,1-Star,Active,292741
546,Safwat Al Sharia Hotel,فندق صفوة الشريعه الفندقية,Makkah,10007564,1-Star,Active,218222
547,Adnan Maatouq Bin Suleih Al Amiri Hotel,فندق عدنان معتوق بن صليح العميري الفندقية,Makkah,10007563,1-Star,Active,219560
548,Visitors Hotel One,مؤسسة الرواد للسياحة,Makkah,10007555,1-Star,Active,230738
549,Masar Al-aleiz Hotel,فندق مسار العز الفندقية,Makkah,10007554,1-Star,Active,105506
550,SARI ALBIT HOTEL,شركة فندق ساري البيت الفندقية,Makkah,10007551,1-Star,Active,218408
551,Al Kiswah Towers Hotel Company,شركة فندق ابراج الكسوة الفندقية,Makkah,10007548,1-Star,Active,287595
552,Hotil Deara Bin Sulaiman Bin Abdul Rahman Al Deara,فندق شركة درع بن سليمان بن عبدالرحمن الدرع للتجارة,Makkah,10007544,1-Star,Active,103312
553,akaper alhijrah hotel,فندق اكابر الهجرة الفندقية,Makkah,10007543,1-Star,Active,220153
554,Sulaiman Bin Musa AlOlayan Silver Hotels Company,شركة سليمان بن موسى العليان الفندقية شخص واحد,Makkah,10007540,1-Star,Active,254596
555,Aemadat Al Zahab Hotel,فندق أعمدة الذهب,Makkah,10007537,1-Star,Active,231922
556,Anwar AlBayt Hotel Operations Establishment,مؤسسة أنوار البيت لتشغيل الفنادق,Makkah,10002344,1-Star,Active,208856
557,Shaza Al Wisam Two Hotel,فندق شذي الوسام اثنان الفندقية,Makkah,10003928,1-Star,Active,220633
558,AFAQ MECHAAR,فندق أفاق المشاعر الفندقية,Makkah,10006943,1-Star,Active,289235
559,Pearl Al-Badayea Hotel Company,شركة فندق لؤلؤة البدائع الفندقية,Makkah,10006944,2-Star,Active,259357
560,hotel majed maayoudh alharthi hotel,فندق ماجد معيوض الحارثي الفندقية,Makkah,10006992,1-Star,Active,244333
561,Nasamat Al Diyafah Hotel,فندق نسمات الضيافة الفندقية,Makkah,10006990,1-Star,Active,212518
562,REHAB ALTAQWA HOTEL,فندق رحاب التقوى الفندقية,Makkah,10006885,1-Star,Active,218384
563,Yamam Third Hotel Company,شركة فندق يمام الثالث الفندقية,Makkah,10006972,1-Star,Active,248516
564,ALTALYIE HOTEL COMPANY,شركة الطلائع الفندقية,Makkah,10006935,2-Star,Active,218506
565,nozol altalayea hotel,شركة الطلائع الفندقية,Makkah,10006989,1-Star,Active,218661
566,TAHLEEL HOTEL,فندق تهليل الفندقية,Makkah,10006965,1-Star,Active,252033
567,"Makkah Clock Royal Tower, A Fairmont Hotel",شركة البرج العالمية لادارة الفنادق فندق ساعة مكة فيرمونت,Makkah,10007336,5-Star,Active,219890
568,canary Inn Hotel Services Company,شركة الكناري إن للخدمات الفندقيه,Makkah,10007525,1-Star,Active,221895
569,Pearl Neighborhood Hotel,فندق لؤلؤة الجوار الفندقية,Makkah,10007523,1-Star,Active,221179
570,funduq liwlwat alshariea,فندق لؤلؤة الشريعة الفندقية,Makkah,10007513,1-Star,Active,218163
571,MEEZAB ORCID MAKKAH HOTEL,شركة ميزاب الفندقية شركة شخص واحد,Makkah,10007510,1-Star,Active,246594
572,MEEZAB ALSABIQ 2 HOTEL,شركة ميزاب الفندقية شركة شخص واحد,Makkah,10007509,1-Star,Active,250233
573,MEEZAB ORCAID ALAZIZIA HOTEL,شركة ميزاب الفندقية شركة شخص واحد,Makkah,10007508,1-Star,Active,256717
574,Mazaya Hotel,شركة مزايا الفندقية,Makkah,10003830,1-Star,Active,255019
575,dorrat alakhyar hotel,فندق درة الأخيار الفندقية,Makkah,10006979,1-Star,Active,239120
576,WAQF SALEM OMAR ALJIFRY HOTEL,فندق وقف سالم عمر الجفري الفندقية,Makkah,10006968,1-Star,Active,289615
577,MIRA SUDD HOTEL,فندق السد ميرة الفندقية,Makkah,10006971,1-Star,Active,218390
578,manazel alkhair hotel,فندق منازل الخير الفندقية,Makkah,10006327,1-Star,Active,239439
579,Jawharat Makkah For Hotels Services,جوهرة مكة الفندقية,Makkah,10006341,1-Star,Active,227907
580,Wirgan Alnoor Hotel for hotel services,فندق ورقان النور للخدمات الفندقية,Makkah,10006348,4-Star,Active,290755
581,Burj ALWahda ALmutamayiz Hotel,فندق برج الوحدة المتميز الفندقية,Makkah,10006563,1-Star,Active,291179
582,Makarem Diafa House Hotel,فندق مكارم ضيافة البيت الفندقية,Makkah,10006592,1-Star,Active,259355
583,EMAAR ALANDLUSIA,فندق اعمار اندلسية الفندقية,Makkah,10006386,3-Star,Active,219670
584,Time Roba Company,شركة تايم ربا لتشغيل الفنادق,Makkah,10007403,4-Star,Active,2094
585,Hotel NILOUFER SHRAIA Hotel,فندق نيلوفر الشرائع الفندقية,Makkah,10007397,1-Star,Active,272432
586,Company BARAKEH AL RAFFA Hotel,شركة بركة الرفاع الفندقية,Makkah,10007389,1-Star,Active,222078
587,nuzol almokhtara hotel,فندق نزل المختارة الفندقية,Makkah,10007382,1-Star,Active,221979
588,Hotel WAHA ALFARIS for hospitality tourism,فندق واحة الفارس للضيافة السياحي,Makkah,10007470,1-Star,Active,289595
589,Hotel Durrat Al Rashideen Hotel,فندق درة الراشدين الفندقية,Makkah,10007379,1-Star,Active,218320
590,Selat Albait,فندق صلة البيت الفندقية,Makkah,10007375,3-Star,Active,225316
591,Anwar Al Mashaer Hote,فندق أنوار المشاعر الفندقية,Makkah,10007358,1-Star,Active,254697
592,Snood Al Azizia Hotel,فندق سنود العزيزية فرع شركة سنود لادارت الاملاك,Makkah,10007353,1-Star,Active,263528
593,LOULOUAT RAYYAN HOTEL,شركة فندق لؤلؤة الريان الفندقية شخص واحد,Makkah,10007345,1-Star,Active,254915
594,MASARAT AL MASHAIR HOTEL,شركة مسارات المشاعر لتشغيل الفنادق,Makkah,10004997,2-Star,Active,239216
595,Alluwluat Hotel,فندق اللؤلؤة الفندقية,Makkah,10003762,1-Star,Active,218076
596,Tharawat Al-Misfalah,فندق ثروات المسفلة,Makkah,10003951,1-Star,Active,242785
597,Al Wafedeen Hotel,فندق الوافدين الفندقية,Makkah,10002709,3-Star,Active,239360
598,Qasr Al Sahab Hotel Makkah,فندق قصر السحاب الفندقية,Makkah,10006224,2-Star,Active,256716
599,Emaar ELET Hotel,فندق اعمار اليت الفندقية,Makkah,10006227,3-Star,Active,219360
600,Dar Raies Hotel,فندق دار الريس الفندقية,Makkah,10004446,2-Star,Active,244415
601,tara aljawhara hotel,شركة تارا,Makkah,10002276,Unclassified/Other,Active,271656
602,JEWEL ALADEEL,فندق جوهرة العدل الفندقية,Makkah,10004281,1-Star,Active,287735
603,Aseel Alhaybah To Operate Hotels Company,شركة اصيل الهيبة لتشغيل الفنادق,Makkah,10006755,4-Star,Active,219023
604,BURG DANA HOTEL,فندق برج دانه للايواء السياحي,Makkah,10006787,1-Star,Active,220029
605,ALWAN ALASEEL HOTEL,فندق الأصيل ألوان الفندقية,Makkah,10006793,1-Star,Active,218181
606,Hotel ABRAG AL-TAISIR TWA For Hotel Services,فندق ابراج التيسير طوى للخدمات الفندقيه,Makkah,10006584,Unclassified/Other,Active,256736
607,Nour Manazel Al Karam Hotel,فندق نور منازل الكرام الفندقية,Makkah,10006830,1-Star,Active,219230
608,MANAR AL HUDA,فندق منار الهدى الفندقية,Makkah,10006879,1-Star,Active,1217
609,alnokhba hotel,فندق النخبة,Makkah,10006490,1-Star,Active,230856
610,Elaf Qinwan,شركة إيلاف قنوان الفندقية,Makkah,10006741,4-Star,Active,234969
611,Hella Inn Hotel for Tourist Accommodation,فندق هيلا آن للايواء السياحي,Makkah,10006904,2-Star,Active,220054
612,fancy garden hotel,فندق الحدايق الراقيه الفندقية,Makkah,10007027,1-Star,Active,288015
613,Al Khayma Hotel Operation Company,شركة الخيمة لتشغيل الفنادق,Makkah,10007022,1-Star,Active,221008
614,QURAA ALASEEL HOTEL,فندق قرى الأصيل الفندقية,Makkah,10007002,1-Star,Active,217960
615,MASARAT GOLDEN HOTEL,فندق مسارات الذهبي الفندقية,Makkah,10007070,1-Star,Active,223561
616,Nusuk Kodai Hotel,فندق نسك كدي الفندقية,Makkah,10007134,1-Star,Active,244331
617,FNDK MANARAT ALMASHAIER,مؤسسة منارة المشاعر الفندقية,Makkah,10007000,1-Star,Active,218840
618,Alam tower hotel,فندق برج العالم الفندقية,Makkah,10007060,1-Star,Active,223513
619,Al Masar Ajyad Hotel,شركة المسار أجياد الفندقية,Makkah,10007097,1-Star,Active,244496
620,Brakat Burhan Hotel,فندق بركة برهان,Makkah,10007080,3-Star,Active,250225
621,Yamam 2 Hotel Company,شركة فندق يمام الثاني الفندقية,Makkah,10007016,1-Star,Active,250220
622,SARAY ISTANBUL,فندق سراي اسطنبول الفندقية,Makkah,10005458,1-Star,Active,258856
623,RAWHANYA HOTEL,فندق الروحانية الفندقية,Makkah,10005498,1-Star,Active,291316
624,Wehdah AlKhair Hotel,فندق وحدة الخير الفندقية,Makkah,10006279,Unclassified/Other,Active,254698
625,company abdulrazak badie al kutbi,شركة عبدالرزاق بديع الكتبي لخدمات المعتمرين,Makkah,10006235,1-Star,Active,287500
626,"Amjad Al Jazeera Hotel, a branch of Amjad Al Jazee",فندق أمجاد الجزيرة فرع شركة أمجاد الجزيرة للإستثمار العقاري,Makkah,10006915,1-Star,Active,228471
627,burg al ziafa hotel,فندق برج الضيافة مبارك للخدمات الفندقيه,Makkah,10006939,1-Star,Active,220148
628,Anwar Aseel Hotel,فندق أنوار أصيل الفندقية,Makkah,10006661,1-Star,Active,241411
629,SQAA ALASEEL HOTEL,فندق الأصيل سقاية الفندقية,Makkah,10006674,2-Star,Active,218077
630,soha Tourist Accommodation Company,شركة صها للايواء السياحي,Makkah,10006382,1-Star,Active,259476
631,Al Dana Diamond Hotel Company,شركة الدانه الماسية الفندقية شركة شخص واحد,Makkah,10006701,4-Star,Active,219752
632,Mathir Al-Jwar Hotel,فندق مآثر الجوار الفندقية,Makkah,10007321,1-Star,Active,218002
633,Jaralbait Hotel,فندق جار البيت الفندقية,Makkah,10007326,1-Star,Active,223278
634,REHAB ALMARWA 2 HOTEL,فندق رحاب المروة اثنين الفندقية,Makkah,10007505,1-Star,Active,219571
635,Durrat Al Bahja Hotel for Tourist Accommodation,فندق درة البهجة للايواء السياحي,Makkah,10007503,1-Star,Active,228045
636,Makarem Alfirdous Hotel,فندق مكارم الفردوس الفندقية,Makkah,10007496,1-Star,Active,288175
637,Sunrise Ajyad Hotel,شركة اشراق اجياد الفندقية,Makkah,10007494,1-Star,Active,239218
638,Kenana Al Azizia Hotel for Hotel Services,فندق كنانة العزيزية للخدمات الفندقيه,Makkah,10007493,1-Star,Active,259075
639,al naseem alarabie hotel,فندق النسيم العربي الفندقية,Makkah,10007490,1-Star,Active,197434
640,Hotel hotel descriptions,فندق الاوصاف الفندقية,Makkah,10007485,1-Star,Active,211538
641,Pearl of Serenity Hotel for Hotel Services,فندق لؤلؤة الصفاء للخدمات الفندقيه,Makkah,10007483,1-Star,Active,242819
642,SARAYA ALJIWAR HOTEL,فندق سرايا الجوار الفندقية,Makkah,10007482,1-Star,Active,220415
643,High Feelings Hotel,فندق عالية المشاعر الفندقية,Makkah,10007478,1-Star,Active,254795
644,Durrat Hassan Hotel for Hotel Services,فندق درة حسن للخدمات الفندقيه,Makkah,10009778,1-Star,Active,255022
645,Roots hotel,شركة جذور الفندقية شركة شخص واحد,Makkah,10006437,1-Star,Active,241410
646,Al Marwa Rayhaan by Rotana,فندق المروة ريحان فرع شركة جوار لإدارة وتسويق وتطوير العقار,Makkah,10007293,4-Star,Active,218413
647,Company ZOHRA ALMADAIN Hotel,شركة زهرة المدائن الفندقية شركة شخص واحد,Makkah,10007316,1-Star,Active,239235
648,Jawharat Nouran Hotel Company for Tourist Accommod,شركة فندق جوهرة نوران للايواء السياحي,Makkah,10007272,1-Star,Active,97369
649,Wardat AL Mashaeri Hotel,فندق وردة المشاعر الفندقية,Makkah,10007282,1-Star,Active,254537
650,DAR ALMAQAM HOTEL,فندق دار المقام الفندقية,Makkah,10007278,1-Star,Active,290556
651,Al BOW Hotel Towers,فندق أبراج البو الفندقية,Makkah,10007322,1-Star,Active,219936
652,Hotel SARI AL-RUABI Hotel,فندق ساري الروابي الفندقية,Makkah,10007340,1-Star,Active,224539
653,NAJMAH THAKHER HOTEL,فندق نجمة ذاخر للضيافة السياحي,Makkah,10007338,1-Star,Active,219919
654,NEW LEVEL HOTEL,شركة نيو ليفيل المحدودة,Makkah,10007337,1-Star,Active,244330
655,Orvana Company,شركة أورفانا,Makkah,10007342,2-Star,Active,239208
656,HOTEL DURRA ALAHBAH,فندق درة الاحبه الفندقية,Makkah,10007590,1-Star,Active,290144
657,Hotel MAGHAM AL-DHAHABI Hotel,فندق مقام الذهبى الفندقية,Makkah,10007588,1-Star,Active,220493
658,zilzl alnuzala,فندق ظلال النزلاء للضيافة السياحي,Makkah,10007587,2-Star,Active,229916
659,Manayer Alosoul hotel,فندق مناير الأصول الفندقية,Makkah,10007586,1-Star,Active,289956
660,Golden Entity Message Company,شركة رسالة الكيان الذهبيه,Makkah,10007582,1-Star,Active,220630
661,Mena hotel,شركة بوابة منى الفندقية,Makkah,10007579,2-Star,Active,221923
662,Moyyad Abdulrahman  Banonah Hotel Est,مؤسسة مؤيد عبدالرحمن بن عبدالعزيز بنونه الفندقية,Makkah,10007566,1-Star,Active,244275
663,Loloat Noura Hotel Company for Tourist Accommodati,شركة فندق لؤلؤة نوران للايواء السياحي,Makkah,10006407,1-Star,Active,217991
664,Hayatt Makarim Ajyad Hotelt,فندق حياة مكارم اجياد الفندقية,Makkah,10006359,1-Star,Active,254616
665,Snood Al Dana Hotel,شركة سنود الدانه للخدمات الفندقيه شركة شخص واحد,Makkah,10006360,1-Star,Active,259358
666,company khadamat al muttahidun ltd,شركة خدمات المتحدون المحدودة,Makkah,10006340,1-Star,Active,298735
667,SARAYA AL DEAFAH HOTEL,فندق سرايا الضيافة الفندقية,Makkah,10006602,3-Star,Active,225640
668,Al-Olayan Ajyad Hotel,فندق العليان اجياد الفندقية,Makkah,10006531,1-Star,Active,255575
669,Suites Al Maqam Hotel,فندق سويتس المقام الفندقية,Makkah,10006477,1-Star,Active,239214
670,Al Miqat Hotel Services Company,فندق الميقات اجياد للايواء السياحي,Makkah,10006614,1-Star,Active,240094
671,Roya Al Mawaddah Hotel for Tourist Accommodation,فندق رؤيا المودة للايواء السياحي,Makkah,10006613,1-Star,Active,246599
672,Hussain Biyari Hotel,فندق حسين حسن علي بياري الفندقية,Makkah,10006349,1-Star,Active,241132
673,Diyar Al Bait Hotel,فندق ديار البيت الفندقية,Makkah,10006404,1-Star,Active,220437
674,Tara Mahbas Hotel,فندق تارا المحبس,Makkah,10007265,1-Star,Active,242812
675,Durrat Taiba Company,شركة درة طيبة المحدودة,Makkah,10007290,1-Star,Active,223860
676,MANAR AL MASHAEIR HOTEL,فندق منار المشاعر الفندقية,Makkah,10007277,1-Star,Active,95426
677,Lapa Darna Hotel,فندق لابا دارنا الفندقية,Makkah,10007257,1-Star,Active,218819
678,Khaled Hussein Ali Hotel Hotel Facility,فندق خالد حسين علي مرفق الفندقية,Makkah,10007237,1-Star,Active,239818
679,mnazil albait company,شركة منازل البيت المحدودة,Makkah,10007289,1-Star,Active,271676
680,ALTALAAYIE HOTEL COMPANY,شركة الطلائع الفندقية,Makkah,10007227,1-Star,Active,213724
681,Mawasem Al Khair Hotel Establishment,مؤسسة مواسم الخير الفندقية,Makkah,10007195,1-Star,Active,295915
682,MAKAREM ALHIJRA HOTEL,فندق مكارم الهجرة الفندقية,Makkah,10007024,1-Star,Active,221988
683,RAKAYA for serviced apartments,شقق ركايا للشقق المخدومة,Makkah,10007050,2-Star,Active,288417
684,Farah Tower Hotel,فندق برج فرح الفندقية,Makkah,10007079,1-Star,Active,239205
685,Diyar Al-Mashaer Serviced Apartments,شقق ديار المشاعر للشقق المخدومة,Makkah,10006728,2-Star,Active,255057
686,Swissotel Al Maqam Makkah,شركة ابراج ساره للاستثمار العقاري فندق سويس أوتيل المقام مكة,Makkah,10007391,4-Star,Active,219927
687,Diyar almashaer hotel,فندق ديار المشاعر الفندقية,Makkah,10006493,2-Star,Active,231074
688,Rawda Mayra hotel,فندق روضة ميار الفندقية,Makkah,10006621,1-Star,Active,292738
689,company maysan almashaer hotel,شركة ميسان المشاعر الفندقية,Makkah,10006698,1-Star,Active,218307
690,DARE LAMAR HOTEL,فندق دار لمار الفندقية,Makkah,10006418,1-Star,Active,246520
691,Mina View Hotel,فندق منى فيو للايواء السياحي,Makkah,10006356,1-Star,Active,287935
692,Blue Coral Hotel,فندق المرجان الأزرق للخدمات الفندقيه شركةشخص واحد,Makkah,10006582,1-Star,Active,218987
693,Emaar Al Khalil Hotel,فندق اعمار الخليل الفندقية,Makkah,10006673,2-Star,Active,218539
694,areej alzahbi hotel,فندق اريج الذهبي الفندقية,Makkah,10006671,1-Star,Active,218991
695,Snod Hotel Company,شركة سنود الفندقية شركة مساهمة مقفلة,Makkah,10006384,1-Star,Active,244498
696,hijrat alkhayr hotel,فندق هجرة الخير الفندقية,Makkah,10007279,1-Star,Active,218034
697,Karamak Two Hotel,فندق كرمك اثنين الفندقية,Makkah,10007162,Unclassified/Other,Active,217716
698,Abeer Al-Azizia Hotel,شركة فندق عبير العزيزية الفندقية,Makkah,10007264,1-Star,Active,220516
699,Saraya Al Taj Hotel Services Company,شركة سرايا التاج للخدمات الفندقيه,Makkah,10007212,1-Star,Active,218376
700,durrat mina hotel,فندق درة مني,Makkah,10007169,1-Star,Active,232043
701,KNOOZ ALDIAFAH TWO Hotel Company,شركة كنوز الضيافة اثنين الفندقية,Makkah,10007251,1-Star,Active,231031
702,balad Tower Hotel,فندق برج البلد الفندقية,Makkah,10007184,1-Star,Active,231770
703,Rawad Al Bait Hotel Company,شركة رواد البيت الفندقية,Makkah,10007121,1-Star,Active,211646
704,MIRA RAWDAH HOTEL,فندق ميرة الروضة للضيافة السياحي,Makkah,10007132,1-Star,Active,218268
705,manasek alhijrah hotel,فندق مناسك الهجرة الفندقية,Makkah,10007143,1-Star,Active,220981
706,WARDAT ALMUEABADA HOTEL,شركة وردة المعابدة الفندقية,Makkah,10007476,1-Star,Active,292179
707,Najma Ghazi Hotel for tourist accommodation,فندق نجمة غازي للايواء السياحي,Makkah,10007475,1-Star,Active,298295
708,diouf almaqam company,شركة ضيوف المقام الفندقية,Makkah,10007473,1-Star,Active,239633
709,sari mina hotel,فندق ساري منى الفندقية,Makkah,10007472,1-Star,Active,290216
710,funduq manarat alsharieat alfunduqia,فندق منارة الشريعة الفندقية,Makkah,10007471,1-Star,Active,219737
711,Turkish Hotel Khaled Bin Hussein Al Sharif Hotel,فندق تركي خالد بن حسين الشريف الفندقية,Makkah,10007468,1-Star,Active,220983
712,SAWAED ALKHAIR,فندق سواعد الخير الفندقية,Makkah,10007467,1-Star,Active,219439
713,Hotel shabab Delma,فندق شباب دلما الفندقية,Makkah,10007465,1-Star,Active,220357
714,Mila Hotel 2,فندق ميلا اثنين الفندقية,Makkah,10007463,1-Star,Active,221092
715,HOTEL SHAAER ALHAYAT,فندق شعائر الحياة الفندقية,Makkah,10007459,1-Star,Active,300384
716,Cent Azizia Hotel,فندق سنت العزيزية الفندقية,Makkah,10006834,2-Star,Active,239443
717,Musalli for hotel Company,شركة مصلي الفندقية,Makkah,10006560,3-Star,Active,259316
718,Arkan Albeit jarwal Hotel Company,شركة فندق اركان البيت جرول الفندقية,Makkah,10006530,1-Star,Active,289636
719,Jabal Omar Address hotel,فندق جبل عمر العنوان الفندقية,Makkah,10006429,5-Star,Active,219541
720,swiss alkhalil hotel,فندق سويس الخليل الفندقية,Makkah,10006643,1-Star,Active,218781
721,Akhyar Al Mahbas Hotel Company,شركة أخيار المحبس الفندقية,Makkah,10006686,2-Star,Active,20532
722,rwad almnasek,شركة رواد المناسك لتشغيل الفنادق,Makkah,10006794,1-Star,Active,231934
723,The First Distinctive Hotel Company,شركة المميزة الاولى الفندقية,Makkah,10006638,1-Star,Active,213860
724,Remal alarab Hotel,فندق رمال العرب الفندقية,Makkah,10006909,1-Star,Active,287955
725,Wardat Al Wafa Hotel,فندق وردة الوفا الفندقية,Makkah,10007102,1-Star,Active,244329
726,ALTALAAYIE HOTEL COMPANY,شركة الطلائع الفندقية,Makkah,10007275,1-Star,Active,218019
727,Diwan Albait Hotel,فندق ديوان البيت الفندقية,Makkah,10007064,1-Star,Active,220698
728,Tala Alsharq co ltd,شركة طلع الشرق المحدودة,Makkah,10007025,2-Star,Active,291315
729,Alesayi Hospitalty ( Mercure Makkah Aziziyah),شركة فندق العيسائي للضيافة,Makkah,10007296,Unclassified/Other,Active,242954
730,Masa'er Al-Mashaer Hotel Establishment,مؤسسة ماسة المشاعر الفندقية,Makkah,10007107,1-Star,Active,243062
731,Arkan Bakkah Hotel,فندق اركان بكة الفندقية,Makkah,10007144,1-Star,Active,244317
732,Saud.q.almatrafi@gmail.com,فندق عبير قبلان المطرفي الفندقية,Makkah,10007103,1-Star,Active,241154
733,Top Leader Company,شركة متصدر المقام,Makkah,10007196,1-Star,Active,217979
734,Al-Bairaq Hotel,فندق البيرق الفندقية,Makkah,10007130,3-Star,Active,221986
735,Abeer Alfadilah Hotel,فندق عبير الفضيلة الفندقية,Makkah,10002354,1-Star,Active,223555
736,rehab al janadriyah hotel,فندق رحاب الجنادرية الفندقية,Makkah,10002231,Unclassified/Other,Active,289215
737,Al Mozn Al Motaliqah Hotel,فندق المزن المتألقة,Makkah,10005919,1-Star,Active,240168
738,Diyar AlMashaer Alhadiyah Hotel,فندق ديار المشاعر الهداية الفندقية,Makkah,10006697,1-Star,Active,237519
739,Masa Al Rayyan Hotel for Tourist Accommodatino,فندق ماسة الريان للايواء السياحي,Makkah,10006922,1-Star,Active,244299
740,BADER AL HADETH HOTEL,فندق بدر الحديث الفندقية,Makkah,10006708,1-Star,Active,239217
741,Moro company,شركة مورو العالمية للشقق والفنادق شركة شخص واحد,Makkah,10006632,2-Star,Active,218357
742,Manasek Al Noor Company for Building Management an,شركة مناسك النور لإدارة وتشغيل المباني ,Makkah,10006734,1-Star,Active,219190
743,Ehdaa Al Wissam Hotel,فندق اهداء الوسام الفندقية,Makkah,10006651,1-Star,Active,218445
744,Elaf Ajyad Hotel,فندق ايلاف اجياد فرع شركة ايلاف للفنادق,Makkah,10006726,1-Star,Active,237589
745,Snood Al Huda Hotel,فندق سنود الهدى الفندقية,Makkah,10006706,1-Star,Active,259135
746,Al Fajr Al Budaiya One Hotel,فندق الفجر البديع واحد للخدمات الفندقيه,Makkah,10006603,2-Star,Active,2060
747,SHAAB SULTANAH HOTEL,فندق شعب سلطانة الفندقية,Makkah,10006785,1-Star,Active,252047
748,Nada Ajyad Hotel,فندق ندى أجياد للضيافة السياحي,Makkah,10007094,1-Star,Active,219828
749,Jawharat Al Badi Hotel,فندق جوهرة البدائع الفندقية,Makkah,10007118,1-Star,Active,219499
750,Awtad Almotheda Hotel,فندق اوتاد المتحدة لتشغيل الفنادق,Makkah,10007021,1-Star,Active,218828
751,Sha'a Al Shaab One Hotel for Tourist Accommodation,فندق شعاع الشعب واحد للايواء السياحي,Makkah,10007085,1-Star,Active,220137
752,Wirgan Al Aziziyah Hotel for Hotel Services,فندق ورقان العزيزية للخدمات الفندقية,Makkah,10007172,4-Star,Active,244323
753,Karmak One Hotel Hotel,فندق كرمك واحد الفندقية,Makkah,10007149,1-Star,Active,213973
754,Salsabil Three Hotel,فندق سلسبيل ثلاثة الفندقية,Makkah,10007065,1-Star,Active,218344
755,BASAMA ALDIYAFAH HOTEIS COMPANY,شركة فندق بسمة الضيافة الفندقية,Makkah,10007180,1-Star,Active,218683
756,Al Manara Ewaa Hotel,فندق المنارة إيواء الفندقية,Makkah,10007249,2-Star,Active,47430
757,DARCOM LAND MARK,شركة المعالم للشقق المخدومة,Makkah,10006795,1-Star,Active,220110
758,Ajwaa Alhateem For hotels Services Company,شركة أجواء الحطيم الفندقية,Makkah,10006646,1-Star,Active,221919
759,EMAAR ALMANAR HOTEL,فندق اعمار المنار الفندقية,Makkah,10006860,Unclassified/Other,Active,232069
760,Diary Ahlam AlFawz Hotel Services Co,شركة دياري أحلام الفوز للخدمات الفندقيه,Makkah,10006668,Unclassified/Other,Active,239201
761,alziady hotel,فندق الزيادي اجياد,Makkah,10006812,1-Star,Active,224933
762,Nawazi Hotel Towers,فندق ابراج نوازي الفندقيه,Makkah,10006951,3-Star,Active,221976
763,Snood Ajyad Hotel Services,شركة سنود اجياد للخدمات الفندقيه شركة شخص واحد,Makkah,10006665,2-Star,Active,211548
764,Waseem Al Aziziyah Hotel,فندق وسيم العزيزية الفندقية,Makkah,10006682,1-Star,Active,218365
765,Nawara Shams Hotel,فندق نوارة شمس الفندقية,Makkah,10006720,1-Star,Active,218600
766,Sama Al Mashaer Hotel for Tourist Accommodation,فندق سما المشاعر للايواء السياحي,Makkah,10006707,1-Star,Active,220069
767,ZEWAR  MASHAER ALQASR HOTEL,فندق زوار المشاعر القصر الفندقية,Makkah,10007045,1-Star,Active,244595
768,Hayat Taiba Tourist Hostel,نزل حياة طيبه للنزل السياحيه,Makkah,10007104,Unclassified/Other,Active,271515
769,awtad almotheda hotel,فندق اوتاد المتحده للضيافة السياحي,Makkah,10007010,1-Star,Active,218857
770,HOTEL NARGIS ALHADIQA,فندق نرجس الحديقة,Makkah,10007206,1-Star,Active,68044
771,MEEZAB ALSABIQ 1 HOTEL,شركة ميزاب الفندقية شركة شخص واحد,Makkah,10007099,1-Star,Active,248527
772,Yamam First Hotel Company,شركة فندق يمام الاول الفندقية,Makkah,10007019,1-Star,Active,253962
773,elaf albait hotel,فندق ايلاف البيت للضيافة السياحي,Makkah,10007001,1-Star,Active,103214
774,Rabwat Al Safwah Hotel,فندق ربوة الصفوة,Makkah,10007100,1-Star,Active,271759
775,Swiss Grand Hotel,فندق سويس جراند الفندقية,Makkah,10007059,1-Star,Active,219932
776,ALTAQWA ALMASSI HOTEL,فندق التقوى الماسي الفندقية,Makkah,10007012,1-Star,Active,239363
777,Mashreq Kuadi Hotel,فندق مشرق كدي التجارية,Makkah,10007032,1-Star,Active,253984
778,Maqam Al Hijaz Tourism Hospitality Company,شركة مقام الحجاز للضيافة السياحي,Makkah,10005865,1-Star,Active,239400
779,Company HAYAT AL-DYAFA for serviced apartments,شركة حياة الضيافة للشقق المخدومة,Makkah,10002887,Code 27,Active,302635
780,Company MULTAQA ALAIMAN for hospitality tourism,شركة ملتقى الايمان للضيافة السياحي,Makkah,10006745,2-Star,Active,242801
781,laylat saba waeishrin Hotel,فندق ليلة سبع وعشرين الفندقية,Makkah,10006953,1-Star,Active,287815
782,MISK UMM ALQURA HOTEL,فندق مسك ام القري,Makkah,10006857,1-Star,Active,255021
783,Zahrat AlYasser Hotel,فندق زهرة الياسر الفندقية,Makkah,10006786,1-Star,Active,239495
784,Wahat Ajyad Travel and Tourism Co,شركة واحة أجياد للسفر و السياحة شخص واحد,Makkah,10006757,1-Star,Active,219817
785,Alhashmiah Tower Hotel,فندق برج الهاشمية للايواء السياحي,Makkah,10006702,1-Star,Active,221001
786,NUR HAYAT HOTEL,شركة نور حياة الفندقية شخص واحد,Makkah,10006808,1-Star,Active,211576
